filename,scenario,subjects,region,size,motion,expected_faces
subject_a_top_left_small.mp4,single_face,subject_a,top_left,small,static,1
subject_a_top_left_medium.mp4,single_face,subject_a,top_left,medium,horizontal,1
subject_a_top_left_large.mp4,single_face,subject_a,top_left,large,vertical,1
subject_a_top_center_small.mp4,single_face,subject_a,top_center,small,diagonal,1
subject_a_top_center_medium.mp4,single_face,subject_a,top_center,medium,orbit,1
subject_a_top_center_large.mp4,single_face,subject_a,top_center,large,zoom,1
subject_a_top_right_small.mp4,single_face,subject_a,top_right,small,static,1
subject_a_top_right_medium.mp4,single_face,subject_a,top_right,medium,horizontal,1
subject_a_top_right_large.mp4,single_face,subject_a,top_right,large,vertical,1
subject_a_center_left_small.mp4,single_face,subject_a,center_left,small,diagonal,1
subject_a_center_left_medium.mp4,single_face,subject_a,center_left,medium,orbit,1
subject_a_center_left_large.mp4,single_face,subject_a,center_left,large,zoom,1
subject_a_center_small.mp4,single_face,subject_a,center,small,static,1
subject_a_center_medium.mp4,single_face,subject_a,center,medium,horizontal,1
subject_a_center_large.mp4,single_face,subject_a,center,large,vertical,1
subject_a_center_right_small.mp4,single_face,subject_a,center_right,small,diagonal,1
subject_a_center_right_medium.mp4,single_face,subject_a,center_right,medium,orbit,1
subject_a_center_right_large.mp4,single_face,subject_a,center_right,large,zoom,1
subject_a_bottom_left_small.mp4,single_face,subject_a,bottom_left,small,static,1
subject_a_bottom_left_medium.mp4,single_face,subject_a,bottom_left,medium,horizontal,1
subject_a_bottom_left_large.mp4,single_face,subject_a,bottom_left,large,vertical,1
subject_a_bottom_right_small.mp4,single_face,subject_a,bottom_right,small,diagonal,1
subject_a_bottom_right_medium.mp4,single_face,subject_a,bottom_right,medium,orbit,1
subject_a_bottom_right_large.mp4,single_face,subject_a,bottom_right,large,zoom,1
subject_b_top_left_small.mp4,single_face,subject_b,top_left,small,static,1
subject_b_top_left_medium.mp4,single_face,subject_b,top_left,medium,horizontal,1
subject_b_top_left_large.mp4,single_face,subject_b,top_left,large,vertical,1
subject_b_top_center_small.mp4,single_face,subject_b,top_center,small,diagonal,1
subject_b_top_center_medium.mp4,single_face,subject_b,top_center,medium,orbit,1
subject_b_top_center_large.mp4,single_face,subject_b,top_center,large,zoom,1
subject_b_top_right_small.mp4,single_face,subject_b,top_right,small,static,1
subject_b_top_right_medium.mp4,single_face,subject_b,top_right,medium,horizontal,1
subject_b_top_right_large.mp4,single_face,subject_b,top_right,large,vertical,1
subject_b_center_left_small.mp4,single_face,subject_b,center_left,small,diagonal,1
subject_b_center_left_medium.mp4,single_face,subject_b,center_left,medium,orbit,1
subject_b_center_left_large.mp4,single_face,subject_b,center_left,large,zoom,1
subject_b_center_small.mp4,single_face,subject_b,center,small,static,1
subject_b_center_medium.mp4,single_face,subject_b,center,medium,horizontal,1
subject_b_center_large.mp4,single_face,subject_b,center,large,vertical,1
subject_b_center_right_small.mp4,single_face,subject_b,center_right,small,diagonal,1
subject_b_center_right_medium.mp4,single_face,subject_b,center_right,medium,orbit,1
subject_b_center_right_large.mp4,single_face,subject_b,center_right,large,zoom,1
subject_b_bottom_left_small.mp4,single_face,subject_b,bottom_left,small,static,1
subject_b_bottom_left_medium.mp4,single_face,subject_b,bottom_left,medium,horizontal,1
subject_b_bottom_left_large.mp4,single_face,subject_b,bottom_left,large,vertical,1
subject_b_bottom_right_small.mp4,single_face,subject_b,bottom_right,small,diagonal,1
subject_b_bottom_right_medium.mp4,single_face,subject_b,bottom_right,medium,orbit,1
subject_b_bottom_right_large.mp4,single_face,subject_b,bottom_right,large,zoom,1
dual_subjects_01.mp4,two_faces_reference_matching,subject_a+subject_b,top_left+bottom_right,small+large,horizontal+diagonal,2
dual_subjects_02.mp4,two_faces_reference_matching,subject_a+subject_b,top_right+bottom_left,large+small,vertical+orbit,2
dual_subjects_03.mp4,two_faces_reference_matching,subject_a+subject_b,center_left+center_right,medium+medium,diagonal+zoom,2
dual_subjects_04.mp4,two_faces_reference_matching,subject_a+subject_b,top_center+bottom_left,small+medium,orbit+static,2
dual_subjects_05.mp4,two_faces_reference_matching,subject_a+subject_b,bottom_right+top_left,medium+large,zoom+horizontal,2
dual_subjects_06.mp4,two_faces_reference_matching,subject_a+subject_b,center+top_right,large+medium,static+vertical,2
dual_subjects_07.mp4,two_faces_reference_matching,subject_a+subject_b,bottom_left+center_right,small+small,horizontal+diagonal,2
dual_subjects_08.mp4,two_faces_reference_matching,subject_a+subject_b,top_left+center,large+large,vertical+orbit,2
